city_id,pop_sum,pop_susceptible,pop_exposed,pop_infected,pop_recovered
110000,22085178,22085178,0,0,0
120000,16053534,16053534,0,0,0
130100,11028789,11028789,0,0,0
130200,8194587,8194587,0,0,0
130300,3237505,3237505,0,0,0
130400,9932719,9932719,0,0,0
130500,7688633,7688633,0,0,0
130600,12126542,12126542,0,0,0
130700,4680908,4680908,0,0,0
130800,3737759,3737759,0,0,0
130900,7777234,7777234,0,0,0
131000,4748620,4748620,0,0,0
131100,4686785,4686785,0,0,0
140100,4515079,4515079,0,0,0
140200,3558765,3558765,0,0,0
140300,1459600,1459600,0,0,0
140400,3577852,3577852,0,0,0
140500,2428288,2428288,0,0,0
140600,1838260,1838260,0,0,0
140700,3483203,3483203,0,0,0
140800,5512150,5512150,0,0,0
140900,3283616,3283616,0,0,0
141000,4634819,4634819,0,0,0
141100,4003635,4003635,0,0,0
150100,3091116,3091116,0,0,0
150200,2860145,2860145,0,0,0
150300,569210,569210,0,0,0
150400,4560127,4560127,0,0,0
150500,3298505,3298505,0,0,0
150600,2081177,2081177,0,0,0
150700,2604688,2604688,0,0,0
150800,1752309,1752309,0,0,0
150900,2239452,2239452,0,0,0
152200,1685288,1685288,0,0,0
152500,1086317,1086317,0,0,0
152900,248860,248860,0,0,0
210100,8333156,8333156,0,0,0
210200,6875044,6875044,0,0,0
210300,3747976,3747976,0,0,0
210400,2193728,2193728,0,0,0
210500,1749593,1749593,0,0,0
210600,2476314,2476314,0,0,0
210700,3196821,3196821,0,0,0
210800,2474053,2474053,0,0,0
210900,1847854,1847854,0,0,0
211000,1888897,1888897,0,0,0
211100,1411411,1411411,0,0,0
211200,2789365,2789365,0,0,0
211300,3118520,3118520,0,0,0
211400,2683683,2683683,0,0,0
220100,7783167,7783167,0,0,0
220200,4390382,4390382,0,0,0
220300,3434336,3434336,0,0,0
220400,1196462,1196462,0,0,0
220500,2317717,2317717,0,0,0
220600,1335900,1335900,0,0,0
220700,2947469,2947469,0,0,0
220800,2086193,2086193,0,0,0
222400,2264517,2264517,0,0,0
230100,10848126,10848126,0,0,0
230200,5478994,5478994,0,0,0
230300,1845181,1845181,0,0,0
230400,1051782,1051782,0,0,0
230500,1479702,1479702,0,0,0
230600,2953024,2953024,0,0,0
230700,1160387,1160387,0,0,0
230800,2534824,2534824,0,0,0
230900,935019,935019,0,0,0
231000,2741778,2741778,0,0,0
231100,1673286,1673286,0,0,0
231200,5478141,5478141,0,0,0
232700,557196,557196,0,0,0
310000,24949906,24949906,0,0,0
320100,7844158,7844158,0,0,0
320200,6849725,6849725,0,0,0
320300,9087497,9087497,0,0,0
320400,4926515,4926515,0,0,0
320500,11131699,11131699,0,0,0
320600,7798919,7798919,0,0,0
320700,4722182,4722182,0,0,0
320800,5116059,5116059,0,0,0
320900,7728067,7728067,0,0,0
321000,4377593,4377593,0,0,0
321100,3332909,3332909,0,0,0
321200,4937965,4937965,0,0,0
321300,5022602,5022602,0,0,0
330100,9642063,9642063,0,0,0
330200,8315740,8315740,0,0,0
330300,9863424,9863424,0,0,0
330400,4904406,4904406,0,0,0
330500,3125268,3125268,0,0,0
330600,5319957,5319957,0,0,0
330700,5836529,5836529,0,0,0
330800,2309538,2309538,0,0,0
330900,1223139,1223139,0,0,0
331000,6470544,6470544,0,0,0
331100,2297527,2297527,0,0,0
340100,8305764,8305764,0,0,0
340200,3828662,3828662,0,0,0
340300,3527315,3527315,0,0,0
340400,2573550,2573550,0,0,0
340500,2415490,2415490,0,0,0
340600,2349084,2349084,0,0,0
340700,801726,801726,0,0,0
340800,5580053,5580053,0,0,0
341000,1492562,1492562,0,0,0
341100,4356646,4356646,0,0,0
341200,8473536,8473536,0,0,0
341300,5952575,5952575,0,0,0
341500,5865540,5865540,0,0,0
341600,5409430,5409430,0,0,0
341700,1558954,1558954,0,0,0
341800,2809696,2809696,0,0,0
350100,7939028,7939028,0,0,0
350200,4077205,4077205,0,0,0
350300,3038743,3038743,0,0,0
350400,2681249,2681249,0,0,0
350500,9002208,9002208,0,0,0
350600,5305635,5305635,0,0,0
350700,2797418,2797418,0,0,0
350800,2771440,2771440,0,0,0
350900,3030119,3030119,0,0,0
360100,5500986,5500986,0,0,0
360200,1712640,1712640,0,0,0
360300,1994350,1994350,0,0,0
360400,5074057,5074057,0,0,0
360500,1221447,1221447,0,0,0
360600,1210022,1210022,0,0,0
360700,8963944,8963944,0,0,0
360800,5156495,5156495,0,0,0
360900,5804576,5804576,0,0,0
361000,4198469,4198469,0,0,0
361100,7060603,7060603,0,0,0
370100,9023603,9023603,0,0,0
370200,8562432,8562432,0,0,0
370300,4870641,4870641,0,0,0
370400,4083549,4083549,0,0,0
370500,2231522,2231522,0,0,0
370600,7504245,7504245,0,0,0
370700,9834466,9834466,0,0,0
370800,8828108,8828108,0,0,0
370900,5971148,5971148,0,0,0
371000,3070171,3070171,0,0,0
371100,3028186,3028186,0,0,0
371300,10970172,10970172,0,0,0
371400,5990770,5990770,0,0,0
371500,6324526,6324526,0,0,0
371600,4091962,4091962,0,0,0
371700,9089533,9089533,0,0,0
410100,9191711,9191711,0,0,0
410200,4927286,4927286,0,0,0
410300,6881758,6881758,0,0,0
410400,5154402,5154402,0,0,0
410500,5452388,5452388,0,0,0
410600,1658615,1658615,0,0,0
410700,6010264,6010264,0,0,0
410800,3701974,3701974,0,0,0
410900,3800566,3800566,0,0,0
411000,4511275,4511275,0,0,0
411100,2685406,2685406,0,0,0
411200,2346822,2346822,0,0,0
411300,10777337,10777337,0,0,0
411400,7729004,7729004,0,0,0
411500,6412802,6412802,0,0,0
411600,9398905,9398905,0,0,0
411700,7590710,7590710,0,0,0
419001,718077,718077,0,0,0
420100,10692799,10692758,41,0,0
420200,2560140,2560140,0,0,0
420300,3526995,3526995,0,0,0
420500,4287253,4287253,0,0,0
420600,5838868,5838868,0,0,0
420700,1106335,1106335,0,0,0
420800,3022183,3022183,0,0,0
420900,5079492,5079492,0,0,0
421000,6002777,6002777,0,0,0
421100,6540223,6540223,0,0,0
421200,2600185,2600185,0,0,0
421300,2281658,2281658,0,0,0
422800,3675619,3675619,0,0,0
429004,1529200,1529200,0,0,0
429005,966100,966100,0,0,0
429006,1247400,1247400,0,0,0
430100,7672627,7672627,0,0,0
430200,4170366,4170366,0,0,0
430300,2984417,2984417,0,0,0
430400,7695514,7695514,0,0,0
430500,7655441,7655441,0,0,0
430600,5933186,5933186,0,0,0
430700,6154215,6154215,0,0,0
430800,1595501,1595501,0,0,0
430900,4659128,4659128,0,0,0
431000,4966128,4966128,0,0,0
431100,5626476,5626476,0,0,0
431200,5132342,5132342,0,0,0
431300,4086207,4086207,0,0,0
433100,2764165,2764165,0,0,0
440100,14658588,14658588,0,0,0
440200,3172617,3172617,0,0,0
440300,12194147,12194147,0,0,0
440400,1797316,1797316,0,0,0
440500,6064513,6064513,0,0,0
440600,8028667,8028667,0,0,0
440700,4923266,4923266,0,0,0
440800,7774383,7774383,0,0,0
440900,6537102,6537102,0,0,0
441200,4362873,4362873,0,0,0
441300,5139197,5139197,0,0,0
441400,4731587,4731587,0,0,0
441500,3251728,3251728,0,0,0
441600,3306517,3306517,0,0,0
441700,2700258,2700258,0,0,0
441800,4133287,4133287,0,0,0
441900,9025040,9025040,0,0,0
442000,3464523,3464523,0,0,0
445100,2944217,2944217,0,0,0
445200,6521387,6521387,0,0,0
445300,2636441,2636441,0,0,0
450100,7445275,7445275,0,0,0
450200,4200767,4200767,0,0,0
450300,5285818,5285818,0,0,0
450400,3036385,3036385,0,0,0
450500,1727142,1727142,0,0,0
450600,977926,977926,0,0,0
450700,3449021,3449021,0,0,0
450800,4582765,4582765,0,0,0
450900,6120677,6120677,0,0,0
451000,3838624,3838624,0,0,0
451100,1882119,1882119,0,0,0
451200,3728978,3728978,0,0,0
451300,2336965,2336965,0,0,0
451400,2202488,2202488,0,0,0
460100,2288030,2288030,0,0,0
460200,768814,768814,0,0,0
460400,1037538,1037538,0,0,0
469001,108300,108300,0,0,0
469002,521400,521400,0,0,0
469005,575200,575200,0,0,0
469006,585000,585000,0,0,0
469007,434500,434500,0,0,0
469021,301000,301000,0,0,0
469022,271500,271500,0,0,0
469023,499900,499900,0,0,0
469024,456000,456000,0,0,0
469025,175300,175300,0,0,0
469026,236100,236100,0,0,0
469027,488100,488100,0,0,0
469028,337600,337600,0,0,0
469029,154500,154500,0,0,0
469030,182200,182200,0,0,0
500000,34162900,34162900,0,0,0
510100,14611017,14611017,0,0,0
510300,3733036,3733036,0,0,0
510400,1704817,1704817,0,0,0
510500,5201605,5201605,0,0,0
510600,3751189,3751189,0,0,0
510700,4819279,4819279,0,0,0
510800,2605705,2605705,0,0,0
510900,3379600,3379600,0,0,0
511000,3841629,3841629,0,0,0
511100,3360597,3360597,0,0,0
511300,6521631,6521631,0,0,0
511400,3055454,3055454,0,0,0
511500,4639480,4639480,0,0,0
511600,3328033,3328033,0,0,0
511700,5673789,5673789,0,0,0
511800,1566502,1566502,0,0,0
511900,3411786,3411786,0,0,0
512000,3789243,3789243,0,0,0
513200,946466,946466,0,0,0
513300,1169172,1169172,0,0,0
513400,4814044,4814044,0,0,0
520100,4566775,4566775,0,0,0
520200,3050818,3050818,0,0,0
520300,6548631,6548631,0,0,0
520400,2461627,2461627,0,0,0
520500,6970081,6970081,0,0,0
520600,3294830,3294830,0,0,0
522300,3010754,3010754,0,0,0
